,name,price,ratings,image
40,"Lava A1 Super 21-Dual Sim |Loud Sound| Number Talker| Vibration Support| auto Call recoding with 4 Day Battery Backup, Blue Silver","Rs. 1,010",4.5 out of 5 stars,https://m.media-amazon.com/images/I/51ryWz45nIL._AC_UY218_.jpg
41,"Samsung Galaxy S20 FE 5G (Cloud Green, 8GB RAM, 128GB Storage)","Rs. 39,990",4.4 out of 5 stars,https://m.media-amazon.com/images/I/812yohjGZ2L._AC_UY218_.jpg
42,"Samsung Galaxy M21 2021 Edition (Charcoal Black, 4GB RAM, 64GB Storage) | FHD+ sAMOLED | 6 Months Free Screen Replacement for Prime (SM-M215GZKDINS)","Rs. 12,499",4.2 out of 5 stars,https://m.media-amazon.com/images/I/712+A5mH44L._AC_UY218_.jpg
43,"Samsung Galaxy Note 20 (Mystic Bronze, 8GB RAM, 256GB Storage) with No Cost EMI/Additional Exchange Offers","Rs. 44,990",4.2 out of 5 stars,https://m.media-amazon.com/images/I/81v6FUkT5CL._AC_UY218_.jpg
44,"Samsung Galaxy M52 5G (ICY Blue, 6GB RAM, 128GB Storage) Latest Snapdragon 778G 5G | sAMOLED 120Hz Display","Rs. 25,999",3.6 out of 5 stars,https://m.media-amazon.com/images/I/81-tqKsrTuL._AC_UY218_.jpg
45,"I KALL K200 Smartphone (2GB, 16GB, 4G Volte) (Gold)","Rs. 4,299",1.7 out of 5 stars,https://m.media-amazon.com/images/I/610G90h4INL._AC_UY218_.jpg
46,"IKALL K6300 Triple SIM, Blue","Rs. 1,099",3.1 out of 5 stars,https://m.media-amazon.com/images/I/61iRxCnGarL._AC_UY218_.jpg
47,Lava GEM (Blue Gold),"Rs. 1,499",4.1 out of 5 stars,https://m.media-amazon.com/images/I/61xGuU4UyEL._AC_UY218_.jpg
48,"Vivo Y21 (Diamond Glow, 4GB RAM, 64GB Storage) with No Cost EMI/Additional Exchange Offers","Rs. 13,990",4.0 out of 5 stars,https://m.media-amazon.com/images/I/51GkJLzb9NL._AC_UY218_.jpg
49,"realme narzo 50i (Mint Green, 2GB RAM+32GB Storage) - with No Cost EMI/Additional Exchange Offers","Rs. 7,499",3.0 out of 5 stars,https://m.media-amazon.com/images/I/61PGb+YfZWL._AC_UY218_.jpg
50,"I KALL Z5 Smartphone (5.5 Inch, 3GB, 16GB) (Green)","Rs. 4,996",5.0 out of 5 stars,https://m.media-amazon.com/images/I/51paFFgW5vL._AC_UY218_.jpg
51,"Samsung Galaxy M12 (White,4GB RAM, 64GB Storage) 6000 mAh with 8nm Processor | True 48 MP Quad Camera | 90Hz Refresh Rate","Rs. 10,299",4.1 out of 5 stars,https://m.media-amazon.com/images/I/71Y8rH2cJiL._AC_UY218_.jpg
52,"OnePlus Nord CE 5G (Blue Void, 8GB RAM, 128GB Storage)","Rs. 24,999",4.1 out of 5 stars,https://m.media-amazon.com/images/I/61iy2Ru9KdS._AC_UY218_.jpg
53,NOKIA 105 Dual SIM (Dark Blue),"Rs. 1,433",4.0 out of 5 stars,https://m.media-amazon.com/images/I/413gWhDPK3L._AC_UY218_.jpg
54,"Micromax Dual Sim X749, Champagne","Rs. 1,564",3.8 out of 5 stars,https://m.media-amazon.com/images/I/71RynmweJoL._AC_UY218_.jpg
55,"Samsung Galaxy M12 (Blue,6GB RAM, 128GB Storage) 6 Months Free Screen Replacement for Prime","Rs. 12,299",4.1 out of 5 stars,https://m.media-amazon.com/images/I/71r69Y7BSeL._AC_UY218_.jpg
56,"Panasonic Eluga I6 (Black, 2GB Ram, 16GB Storage) - 3 Month No Cost EMI","Rs. 5,490",3.4 out of 5 stars,https://m.media-amazon.com/images/I/615NcIueEhL._AC_UY218_.jpg
57,"Vivo Y21 (Midnight Blue, 4GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers","Rs. 15,490",4.0 out of 5 stars,https://m.media-amazon.com/images/I/61gRGQe8jjL._AC_UY218_.jpg
58,"Samsung Galaxy S20 FE 5G (Cloud Green, 8GB RAM, 128GB Storage)","Rs. 39,990",4.4 out of 5 stars,https://m.media-amazon.com/images/I/812yohjGZ2L._AC_UY218_.jpg
59,"Samsung Galaxy M32 (Black, 4GB RAM, 64GB Storage) 6 Months Free Screen Replacement for Prime","Rs. 12,999",4.2 out of 5 stars,https://m.media-amazon.com/images/I/71Q3iSQAwAS._AC_UY218_.jpg
60,"Samsung Galaxy M32 (Black, 4GB RAM, 64GB Storage) 6 Months Free Screen Replacement for Prime","Rs. 12,999",4.2 out of 5 stars,https://m.media-amazon.com/images/I/71Q3iSQAwAS._AC_UY218_.jpg
61,Lava A1 (Blue Silver),Rs. 999,4.0 out of 5 stars,https://m.media-amazon.com/images/I/71nJCipMRiL._AC_UY218_.jpg
62,Nokia 216 (Black),"Rs. 2,828",4.1 out of 5 stars,https://m.media-amazon.com/images/I/51jUtsdS+BL._AC_UY218_.jpg
63,"Tecno Spark 7T(Nebula Orange, 4GB RAM, 64GB Storage) 6000 mAh Battery| 48 MP AI Dual Rear Camera","Rs. 8,499",4.0 out of 5 stars,https://m.media-amazon.com/images/I/81niwIeRCbS._AC_UY218_.jpg
64,"OPPO A74 5G (Fantastic Purple,6GB RAM,128GB Storage) - 5G Android Smartphone | 5000 mAh Battery | 18W Fast Charge | 90Hz LCD Display","Rs. 15,990",4.2 out of 5 stars,https://m.media-amazon.com/images/I/71geVdy6-OS._AC_UY218_.jpg
65,"Vivo Y33s (Mirror Black, 8GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers","Rs. 17,990",4.4 out of 5 stars,https://m.media-amazon.com/images/I/51xFckqp4yL._AC_UY218_.jpg
66,"BOLLYWOOD COLLECTION Jio Phone 3 Model 2021 , Black","Rs. 1,919",3.4 out of 5 stars,https://m.media-amazon.com/images/I/51q-8htpKAL._AC_UY218_.jpg
67,"I KALL K555 (Triple Sim, 2.8 Inch), Green","Rs. 1,099",1.0 out of 5 stars,https://m.media-amazon.com/images/I/41iQpGfZOtL._AC_UY218_.jpg
68,"Samsung Galaxy M12 (White,4GB RAM, 64GB Storage) 6000 mAh with 8nm Processor | True 48 MP Quad Camera | 90Hz Refresh Rate","Rs. 10,299",4.1 out of 5 stars,https://m.media-amazon.com/images/I/71Y8rH2cJiL._AC_UY218_.jpg
69,"OnePlus Nord CE 5G (Blue Void, 8GB RAM, 128GB Storage)","Rs. 24,999",4.1 out of 5 stars,https://m.media-amazon.com/images/I/61iy2Ru9KdS._AC_UY218_.jpg
70,"G'Five U106 Dual Sim, Orange",Rs. 699,4.0 out of 5 stars,https://m.media-amazon.com/images/I/61D1k3Cst2L._AC_UY218_.jpg
71,"Tecno Spark 7 (Spruce Green, 2GB RAM, 32 GB Storage) - 6000mAh Battery|16 MP Dual Camera| 6.52” Dot Notch Display","Rs. 7,699",4.0 out of 5 stars,https://m.media-amazon.com/images/I/719b6ihbwZS._AC_UY218_.jpg
72,"Nokia 110 4G with Volte HD Calls, Up to 32GB External Memory, FM Radio (Wired & Wireless Dual Mode), Games, Torch | Aqua (Nokia 110 DS-4G)","Rs. 2,799",3.4 out of 5 stars,https://m.media-amazon.com/images/I/61pt8e+GUFL._AC_UY218_.jpg
73,"itel A23 Pro Jio (Lake Blue, 1GB RAM, 8 GB Storage, 5'' Bright Display) (L5006C)","Rs. 3,876",3.2 out of 5 stars,https://m.media-amazon.com/images/I/81-dPr1Dz7L._AC_UY218_.jpg
74,Lava A9 (Rose Gold),"Rs. 1,575",4.0 out of 5 stars,https://m.media-amazon.com/images/I/611pIgt0oQL._AC_UY218_.jpg
75,Redmi 9A(Midnight Black 3GB RAM 32GB Storage) | 2GHz Octa-core Helio G25 Processor | 5000 mAh Battery,"Rs. 7,799",4.2 out of 5 stars,https://m.media-amazon.com/images/I/71sxlhYhKWL._AC_UY218_.jpg
76,New Jio Phone 3 Security Deposite (Black),"Rs. 1,800",3.3 out of 5 stars,https://m.media-amazon.com/images/I/51Kv6qM-lqS._AC_UY218_.jpg
77,"Samsung Galaxy Note 20 (Mystic Bronze, 8GB RAM, 256GB Storage) with No Cost EMI/Additional Exchange Offers","Rs. 44,990",4.2 out of 5 stars,https://m.media-amazon.com/images/I/81v6FUkT5CL._AC_UY218_.jpg
78,"Samsung Galaxy S20 FE 5G (Cloud Green, 8GB RAM, 128GB Storage)","Rs. 39,990",4.4 out of 5 stars,https://m.media-amazon.com/images/I/812yohjGZ2L._AC_UY218_.jpg
79,"Samsung Galaxy M32 (Black, 4GB RAM, 64GB Storage) 6 Months Free Screen Replacement for Prime","Rs. 12,999",4.2 out of 5 stars,https://m.media-amazon.com/images/I/71Q3iSQAwAS._AC_UY218_.jpg
80,Lava A1 (Blue Silver),Rs. 999,4.0 out of 5 stars,https://m.media-amazon.com/images/I/71nJCipMRiL._AC_UY218_.jpg
81,Nokia 110 Dual SIM (Blue),"Rs. 1,672",3.8 out of 5 stars,https://m.media-amazon.com/images/I/41l8Ih2TENL._AC_UY218_.jpg
82,"I KALL K23 Premium Keypad Mobile (Dual Sim, 1000 mAh) (Blue)",Rs. 669,3.0 out of 5 stars,https://m.media-amazon.com/images/I/710u0Ml1e8L._AC_UY218_.jpg
83,"SeniorWorld Royale with Sound Booster, 2.4 inch Flip phone with 20+ senior citizen friendly features like Loud sound, Dock charger, Photo speed dial, SOS button, App based Remote phone configuration etc. (Blue)","Rs. 3,750",4.0 out of 5 stars,https://m.media-amazon.com/images/I/410TcvuvfuL._AC_UY218_.jpg
84,SENIOR WORLD Easyfone Udaan 2 Dual SIM,"Rs. 2,290",3.6 out of 5 stars,https://m.media-amazon.com/images/I/71UVTJLQefL._AC_UY218_.jpg
85,Nokia 105 Single SIM (Pink),"Rs. 1,310",4.1 out of 5 stars,https://m.media-amazon.com/images/I/41CTK-5ZTfL._AC_UY218_.jpg
86,Motorola T101 Cordless Phone (Black),"Rs. 1,626",3.5 out of 5 stars,https://m.media-amazon.com/images/I/718l6HckIgL._AC_UY218_.jpg
87,"I KALL K555 (Triple Sim, 2.8 Inch), Green","Rs. 1,099",1.0 out of 5 stars,https://m.media-amazon.com/images/I/41iQpGfZOtL._AC_UY218_.jpg
88,Redmi 9A (Sea Blue 3GB RAM 32GB Storage)| 2GHz Octa-core Helio G25 Processor | 5000 mAh Battery,"Rs. 7,799",4.2 out of 5 stars,https://m.media-amazon.com/images/I/71sxlhYhKWL._AC_UY218_.jpg
89,"Samsung Galaxy M12 (White,4GB RAM, 64GB Storage) 6000 mAh with 8nm Processor | True 48 MP Quad Camera | 90Hz Refresh Rate","Rs. 10,299",4.1 out of 5 stars,https://m.media-amazon.com/images/I/71Y8rH2cJiL._AC_UY218_.jpg
90,"OnePlus Nord CE 5G (Blue Void, 8GB RAM, 128GB Storage)","Rs. 24,999",4.1 out of 5 stars,https://m.media-amazon.com/images/I/61iy2Ru9KdS._AC_UY218_.jpg
91,"I KALL K105 (Wine Red, 2.4 Inch, 2500 mAh)","Rs. 1,149",3.0 out of 5 stars,https://m.media-amazon.com/images/I/61TN8voFZ-L._AC_UY218_.jpg
92,"I KALL Z5 Smartphone (5.5 Inch, 3GB, 16GB) (Green)","Rs. 4,996",5.0 out of 5 stars,https://m.media-amazon.com/images/I/51paFFgW5vL._AC_UY218_.jpg
93,"I KALL Z2 Smartphone (4GB, 32GB), Purple","Rs. 6,079",5.0 out of 5 stars,https://m.media-amazon.com/images/I/41fjukD1D5L._AC_UY218_.jpg
94,"BOLLYWOOD COLLECTION Jio Phone 3 Model 2021 , Black","Rs. 1,919",3.4 out of 5 stars,https://m.media-amazon.com/images/I/51q-8htpKAL._AC_UY218_.jpg
95,IKALL K80 Full Multimedia Dual Sim Pen Mobile with Digital Camera and Memory Card Slot (Black),"Rs. 1,699",3.0 out of 5 stars,https://m.media-amazon.com/images/I/51FN1y4RB6L._AC_UY218_.jpg
96,"Samsung Galaxy Note 20 (Mystic Bronze, 8GB RAM, 256GB Storage) with No Cost EMI/Additional Exchange Offers","Rs. 44,990",4.2 out of 5 stars,https://m.media-amazon.com/images/I/81v6FUkT5CL._AC_UY218_.jpg
97,"Samsung Galaxy S20 FE 5G (Cloud Green, 8GB RAM, 128GB Storage)","Rs. 39,990",4.4 out of 5 stars,https://m.media-amazon.com/images/I/812yohjGZ2L._AC_UY218_.jpg
98,"Samsung Galaxy M32 (Black, 4GB RAM, 64GB Storage) 6 Months Free Screen Replacement for Prime","Rs. 12,999",4.2 out of 5 stars,https://m.media-amazon.com/images/I/71Q3iSQAwAS._AC_UY218_.jpg
99,Lava A1 (Blue Silver),Rs. 999,4.0 out of 5 stars,https://m.media-amazon.com/images/I/71nJCipMRiL._AC_UY218_.jpg
100,"realme narzo 50i (Carbon Black, 4GB RAM+64GB Storage) - with No Cost EMI/Additional Exchange Offers","Rs. 8,999",2.2 out of 5 stars,https://m.media-amazon.com/images/I/71djAn3nxoL._AC_UY218_.jpg
101,"Tecno Spark Go 2021 (Maldives Blue, 2GB RAM, 32GB Storage) | 5000mAh| 6.52"" Display Smartphone","Rs. 7,299",4.2 out of 5 stars,https://m.media-amazon.com/images/I/81bFh4o+crS._AC_UY218_.jpg
102,"Samsung Galaxy M31 (Ocean Blue, 8GB RAM, 128GB Storage) 6 Months Free Screen Replacement for Prime","Rs. 16,999",4.2 out of 5 stars,https://m.media-amazon.com/images/I/71-Su4Wr0HL._AC_UY218_.jpg
103,"Samsung Galaxy M52 5G (Blazing Black, 6GB RAM, 128GB Storage) Latest Snapdragon 778G 5G | sAMOLED 120Hz Display","Rs. 25,999",3.6 out of 5 stars,https://m.media-amazon.com/images/I/71b5BwTCcZL._AC_UY218_.jpg
104,"Samsung Galaxy M12 (White,4GB RAM, 64GB Storage) 6000 mAh with 8nm Processor | True 48 MP Quad Camera | 90Hz Refresh Rate","Rs. 10,299",4.1 out of 5 stars,https://m.media-amazon.com/images/I/71Y8rH2cJiL._AC_UY218_.jpg
105,"OnePlus Nord CE 5G (Blue Void, 8GB RAM, 128GB Storage)","Rs. 24,999",4.1 out of 5 stars,https://m.media-amazon.com/images/I/61iy2Ru9KdS._AC_UY218_.jpg
106,"itel A47 (Cosmic Purple, 2GB RAM, 32GB Storage, 5.5'' HD+ IPS Display), L5505","Rs. 5,499",3.9 out of 5 stars,https://m.media-amazon.com/images/I/712ikfIoZrS._AC_UY218_.jpg
107,"KECHAODA K66 The Music House 4, Dual Sim (Power Silver)","Rs. 1,132",3.7 out of 5 stars,https://m.media-amazon.com/images/I/61OAPgPZeDL._AC_UY218_.jpg
108,Redmi 9A (Sea Blue 3GB RAM 32GB Storage)| 2GHz Octa-core Helio G25 Processor | 5000 mAh Battery,"Rs. 7,799",4.2 out of 5 stars,https://m.media-amazon.com/images/I/71sxlhYhKWL._AC_UY218_.jpg
109,Nokia 216 (Black),"Rs. 2,828",4.1 out of 5 stars,https://m.media-amazon.com/images/I/51jUtsdS+BL._AC_UY218_.jpg
110,"I KALL K31 Multimedia Mobile Without Camera (1.8 Inch, Blue)",Rs. 659,2.7 out of 5 stars,https://m.media-amazon.com/images/I/514CT+t4qtL._AC_UY218_.jpg
111,"I KALL K105 (Wine Red, 2.4 Inch, 2500 mAh)","Rs. 1,149",3.0 out of 5 stars,https://m.media-amazon.com/images/I/61TN8voFZ-L._AC_UY218_.jpg
112,Itel It 5617 (Light Blue),"Rs. 1,219",3.8 out of 5 stars,https://m.media-amazon.com/images/I/71qJ9ldJfPS._AC_UY218_.jpg
113,"Samsung Galaxy Note 20 (Mystic Bronze, 8GB RAM, 256GB Storage) with No Cost EMI/Additional Exchange Offers","Rs. 44,990",4.2 out of 5 stars,https://m.media-amazon.com/images/I/81v6FUkT5CL._AC_UY218_.jpg
114,"Samsung Galaxy S20 FE 5G (Cloud Green, 8GB RAM, 128GB Storage)","Rs. 39,990",4.4 out of 5 stars,https://m.media-amazon.com/images/I/812yohjGZ2L._AC_UY218_.jpg
115,"Samsung Galaxy M32 (Black, 4GB RAM, 64GB Storage) 6 Months Free Screen Replacement for Prime","Rs. 12,999",4.2 out of 5 stars,https://m.media-amazon.com/images/I/71Q3iSQAwAS._AC_UY218_.jpg
116,"Samsung Galaxy M52 5G (ICY Blue, 6GB RAM, 128GB Storage) Latest Snapdragon 778G 5G | sAMOLED 120Hz Display","Rs. 25,999",3.6 out of 5 stars,https://m.media-amazon.com/images/I/81-tqKsrTuL._AC_UY218_.jpg
117,"itel A23 Pro Jio (Sapphire Blue, 1GB RAM, 8 GB Storage, 5'' Bright Display) (L5006C)","Rs. 3,900",3.4 out of 5 stars,https://m.media-amazon.com/images/I/81266Be2zwL._AC_UY218_.jpg
118,"Redmi 9 Power (Electric Green, 4GB RAM, 64GB Storage) - 6000mAh Battery |FHD+ Screen| 48MP Quad Camera | Alexa Hands-Free Capable","Rs. 10,999",4.2 out of 5 stars,https://m.media-amazon.com/images/I/71hEzQGO5qL._AC_UY218_.jpg
119,"Nokia 215 4G Dual SIM 4G Phone with Long Battery Life, Multiplayer Games, Wireless FM Radio and Durable Ergonomic Design – Black_124.7 x 51.0 x 13.7 mm","Rs. 2,999",3.4 out of 5 stars,https://m.media-amazon.com/images/I/61ueIKbR2YL._AC_UY218_.jpg
120,Nokia 150 (2020) (Cyan),"Rs. 2,399",3.9 out of 5 stars,https://m.media-amazon.com/images/I/41fMEQ-GoHL._AC_UY218_.jpg
121,IKALL K80 Full Multimedia Dual Sim Pen Mobile with Digital Camera and Memory Card Slot (Black),"Rs. 1,699",3.0 out of 5 stars,https://m.media-amazon.com/images/I/51FN1y4RB6L._AC_UY218_.jpg
122,"Samsung Galaxy M12 (White,4GB RAM, 64GB Storage) 6000 mAh with 8nm Processor | True 48 MP Quad Camera | 90Hz Refresh Rate","Rs. 10,299",4.1 out of 5 stars,https://m.media-amazon.com/images/I/71Y8rH2cJiL._AC_UY218_.jpg
123,"OnePlus Nord CE 5G (Blue Void, 8GB RAM, 128GB Storage)","Rs. 24,999",4.1 out of 5 stars,https://m.media-amazon.com/images/I/61iy2Ru9KdS._AC_UY218_.jpg
124,Lava GEM (Gold + Black),"Rs. 1,499",4.1 out of 5 stars,https://m.media-amazon.com/images/I/312j0wjWf4L._AC_UY218_.jpg
125,Nokia 150 (2020) (Red),"Rs. 2,399",3.9 out of 5 stars,https://m.media-amazon.com/images/I/41dN0RQDN0L._AC_UY218_.jpg
126,Nokia 105 Single SIM (Pink),"Rs. 1,310",4.1 out of 5 stars,https://m.media-amazon.com/images/I/41CTK-5ZTfL._AC_UY218_.jpg
127,"Samsung Galaxy M02 (Black,2GB RAM, 32GB Storage)","Rs. 7,999",3.9 out of 5 stars,https://m.media-amazon.com/images/I/71etYYG3M8L._AC_UY218_.jpg
128,"Redmi 9 Power (Fiery Red, 4GB RAM, 64GB Storage) - 6000mAh Battery |FHD+ Screen| 48MP Quad Camera | Alexa Hands-Free Capable","Rs. 10,999",4.2 out of 5 stars,https://m.media-amazon.com/images/I/71hEzQGO5qL._AC_UY218_.jpg
129,"Vivo Y12s (Glacier Blue, 3GB, 32GB ) with No Cost EMI/Additional Exchange Offers","Rs. 10,990",4.2 out of 5 stars,https://m.media-amazon.com/images/I/71MeL149KBL._AC_UY218_.jpg
130,"Nokia G20 Smartphone, Dual SIM 4G, 4GB RAM/64GB Storage, 48MP Quad Camera with 6.5” (16.51 cm) Screen | Blue","Rs. 13,490",3.7 out of 5 stars,https://m.media-amazon.com/images/I/61OiHUy-bfS._AC_UY218_.jpg
131,"Samsung Galaxy Note 20 (Mystic Bronze, 8GB RAM, 256GB Storage) with No Cost EMI/Additional Exchange Offers","Rs. 44,990",4.2 out of 5 stars,https://m.media-amazon.com/images/I/81v6FUkT5CL._AC_UY218_.jpg
