,name,price,ratings,image
37,"Nirvika Stainless Steel Handi Set Copper Bottom Handi with Lid Kitchen Serving,Cooking Bowl |Cookware Set /Urli Set 5-Pieces | patila Bhagona",Rs. 799,3.7 out of 5 stars,https://m.media-amazon.com/images/I/81LF-INTC6L._AC_UL320_.jpg
38,LUCID...We Build Relations Plastic Luxury Kitchen Set Cooking Toy with Briefcase and Accessories (Yellow),Rs. 380,3.9 out of 5 stars,https://m.media-amazon.com/images/I/71hInyyallL._AC_UL320_.jpg
39,"Parage Premium Stainless Steel Kitchen Tools Set for Cooking, Set of 5, 35 cm Length, Silver (Contains: 1 Ladle, 1 Skimmer,1 Turner, 1 Spatula, 1 Slotted Turner)-Design2",Rs. 459,4.0 out of 5 stars,https://m.media-amazon.com/images/I/51t6kH98F0L._AC_UL320_.jpg
40,"Craftsman India Online Unglazed Terracotta Clay Pottery Mud Pot/Earthen Handi for Cooking and Serving (Red, 1 L)",Rs. 349,4.1 out of 5 stars,https://m.media-amazon.com/images/I/51QAjCbggGS._AC_UL320_.jpg
41,"Cooking Coconut Oil , 100% Pure , Edible (1 Litre)",Rs. 199,4.3 out of 5 stars,https://m.media-amazon.com/images/I/61hR7qqXAWL._AC_UL320_.jpg
42,DEALBOOTH Magic Silicon Premium Rubber Hand Gloves for Kitchen with Scrubber Dish Wash Gloves Cooking Baking Oven Glove Heat Resistance Non Slip Pet Bathing Car Wash Free Size Multicolor Premium Pair Prime,Rs. 199,5.0 out of 5 stars,https://m.media-amazon.com/images/I/71Tesz3pLAS._AC_UL320_.jpg
43,eshwarshop Cooking Set.,Rs. 499,3.6 out of 5 stars,https://m.media-amazon.com/images/I/81+3+u9qiEL._AC_UL320_.jpg
44,SeGrand Clay Kadai (2 litres) and Tawa (8 inch Diameter) Combo Set - with Handle and Lid for Cooking on Gas - Hand Crafted Terracotta Earthen Pot,Rs. 949,3.7 out of 5 stars,https://m.media-amazon.com/images/I/618VhpR0y6L._AC_UL320_.jpg
45,"Kitchen Crafting Present Stainless Steel Oil Dispenser 1000ml, Oil Pot, Oil Can, Oil Kitchen Container with nozzle vinegar sauce liquid condiment dispenser of 1 Litre (Silver, Pack of 1)",Rs. 469,4.0 out of 5 stars,https://m.media-amazon.com/images/I/41MzuG3OmsL._AC_UL320_.jpg
46,"Kerala Traditional South India Village Pottery Traditional Pre-Seasoned Clay Pot for Cooking on Gas Combo of 3/Earthern Cookware /Manchatti for Cooking/Clay Pot for Cooking Pre-Seasoned (Black,1,2,3L)",Rs. 799,5.0 out of 5 stars,https://m.media-amazon.com/images/I/61cWItAwkuL._AC_UL320_.jpg
47,"SHIBU Utensil Kart Momos and Idli Steamer 4 Tier Premium Aluminium Momo Maker with Handles, Durable 4 Tier Steamer for Cooking, Suitable for Home's Kitchen (Silver, Small, 4L Size)",Rs. 649,3.0 out of 5 stars,https://m.media-amazon.com/images/I/61W45anPRIS._AC_UL320_.jpg
48,"SHIBU Utensil Kart Momos 3 Tier Premium Aluminium Momo Maker with Handles, Durable Steamer for Cooking, Small Size 4L, Silver",Rs. 599,3.4 out of 5 stars,https://m.media-amazon.com/images/I/41AIPyeKJXL._AC_UL320_.jpg
49,Daily Deals Cast Iron Pre-Seasoned Grill Pan (Black),"Rs. 1,499",3.8 out of 5 stars,https://m.media-amazon.com/images/I/816+iVrE4-L._AC_UL320_.jpg
50,"SHIBU Aluminum Momos Maker & Steamer With Handles (5L), Silver",Rs. 699,3.7 out of 5 stars,https://m.media-amazon.com/images/I/711qf5TsTWL._AC_UL320_.jpg
51,"ZUCLLIN® Stainless Steel Cooking and Serving Spoon Set of 5, Complete Silver Kitchen Tool (Pack of 5)",Rs. 360,4.4 out of 5 stars,https://m.media-amazon.com/images/I/51NDPD45urS._AC_UL320_.jpg
52,"BIRZAR Stainless Steel and Glass Spray Olive Oil Dispenser Bottle for Cooking, BBQ, Salad, Kitchen Baking, Roasting, Grilling, Frying, Pump with Mini Funnel, Silver, Transparent, 200 Ml",Rs. 430,5.0 out of 5 stars,https://m.media-amazon.com/images/I/61JdAVzzsaL._AC_UL320_.jpg
53,"Giffy® Microwave Oven Glove Mitts 2 Piece Set for Kitchen Cooking Heat Resistant, Thick & Safe, Protection of Hand for Utensils Gas Flame Grill Barbecue, Multi-Design",Rs. 234,4.0 out of 5 stars,https://m.media-amazon.com/images/I/51ma7ZzFO-L._AC_UL320_.jpg
54,"Vinod Legacy Pre-Seasoned Cast Iron Kadai, 26 cm,Induction Friendly,Black, 1 Piece","Rs. 2,590",4.3 out of 5 stars,https://m.media-amazon.com/images/I/71wo7y6bORL._AC_UL320_.jpg
55,"ECOPAL - Bamboo Cooking Utensils/Non Stick Spatulas, Ladles for Mixing and Turning Spoon Set - Pack of 3",Rs. 299,4.5 out of 5 stars,https://m.media-amazon.com/images/I/81urIhPOq8S._AC_UL320_.jpg
56,"GIFTOS365 Handmade Wooden Non-Stick Serving and Cooking Spoon Kitchen Tools Utensil, Set of 4",Rs. 220,4.1 out of 5 stars,https://m.media-amazon.com/images/I/515CRwC8x2S._AC_UL320_.jpg
57,"The Indus Valley Natural Cookware Cast Iron Deep Kadai for Cooking- Induction Safe & Pre-Seasoned-(10 Inch, 3.44 Kg)","Rs. 1,275",3.7 out of 5 stars,https://m.media-amazon.com/images/I/51f7LdlVxEL._AC_UL320_.jpg
58,"Denique Stainless Steel Serving and Cooking Spoons Set of 5 pc Combo(1 of Slotted Turner, 1 of Ladle, 1 of Skimmer, 1 of Serving Big Spoon, 1 of Flex Turner(Sky Blue)",Rs. 499,4.5 out of 5 stars,https://m.media-amazon.com/images/I/71qpOTYJJWL._AC_UL320_.jpg
